시도,시군구,센터명,장소/위치,이용정원,연락처,위도,경도
경기도,안산시,단원구 노인복지관,경기도 안산시 단원구 선부광장1로 134(선부동)단원구 노인복지관 1층,10명,1600-6813,37.3322681827288,126.810573678908
강원도,춘천시,강원스마트쉼센터,강원도 춘천시 중앙로 1 (봉의동)강원도청 청사관리동 2층 스마트쉼센터 상담실,15명,033-910-0833,37.8800729197963,127.727907820318
경기도,수원시,한림도서관 교육장,경기도 수원시 권선구 동수원로25번길 32-52 (권선동)한림도서관2층,10명,1600-6813,37.2376010237797,127.025024922521
강원도,원주시,밥상공동체 종합사회복지관,강원도 원주시 일산로 81-23층 교육실,100명,033-910-0833,37.3462844647773,127.951483823707
인천광역시,남동구,인천남동지역자활센터,인천광역시 남동구 만수로 12-6 (만수동)인천남동지역자활센터 (4층),10명,1644-5561,37.4580417361951,126.730744343023
경상북도,울진군,울진군청,경상북도 울진군 울진읍 울진중앙로 121 1층 정보화교육장,16명,054-841-2182,36.9930659818234,129.400516554989
부산광역시,해운대구,문화복합센터,부산광역시 해운대구 센텀중앙로 170,10명,070-5029-0817,35.1820881952822,129.12141414575
대전광역시,유성구,유성실버복지센터,대전광역시 유성구 원신흥남로27번길 54 (원신흥동)교육장,10명,042-716-0198,36.3341605963819,127.335512835484
경기도,안산시,본오1동 행정복지센터,경기도 안산시 상록구 샘골로 16 (본오동)2층 교육실 ,10명,1800-0096,37.2851064612367,126.864249576126
경기도,안산시,은빛둥지,경기도 안산시 상록구 본오로2길 20 (본오동)은빛둥지 2층(구 새마을복지관 2층) ,10명,031-438-4088,37.2863594207547,126.868295733879
부산광역시,수영구,도도수영8A,부산광역시 수영구 망미번영로60번길 22 (수영동)망미번영로60번길 24 도도수영8A,12명,051-987-0201 ,35.1717397741465,129.110637181156
부산광역시,연제구,연제구지역자활센터,부산광역시 연제구 봉수로 17 (연산동)3층 연제구지역자활센터,10명,070-5029-0817,35.1727274741814,129.088908850488
경상북도,영주시,영주시장애인정보화협회,경상북도 영주시 구성로 280 (휴천동)단층,6명,054-841-2182,36.8179540096859,128.627907798385
전라남도,광양시,광양시청소년문화센터,전라남도 광양시 광장로 14 (중동)2층,10명,1566-6105,34.9376506885854,127.690301031721
대구광역시,북구,노원행복도서관,대구광역시 북구 노원로 134 (노원동3가)1층 정면안쪽,5명,053-214-1801,35.8969528043001,128.575764524629
경상남도,김해시,서부장애인종합복지관,경상남도 김해시 대청로176번길 30 (대청동)2층 정보화교육실,10명,055-213-2775,35.1902906632375,128.799377067976
인천광역시,남동구,만월종합사회복지관,인천광역시 남동구 서판로54번길 12 (만수동)만월종합사회복지관,10명,1644-5561,37.4635906496918,126.725477839784
제주특별자치도,제주시,상명정낭정보화마을,제주특별자치도 제주시 한림읍 상한로 4 상명정낭정보화마을,10명,1899-8723,33.3579625110027,126.274115244147
서울특별시,노원구,공릉종합사회복지관,"서울특별시 노원구 동일로 1127 (공릉동, 공릉1단지아파트)공릉종합사회복지관 본관지하교육장",10명,1544-9782,37.6295896681388,127.069854784391
울산광역시,울주군,언양서부다함께돌봄센터,울산광역시 울주군 언양읍 방천3길 15-3 2층,10명,180-0-0096,35.5659022120713,129.115474275332
경상북도,울진군,울진군 직산1리마을회관,경상북도 울진군 평해읍 제장로 133 ,10명,054-841-2182,36.732864223455,129.475736083028
경상북도,영덕군,영덕군 예주고을체험마을,경상북도 영덕군 영해면 예주8길 14-7 예주고을 ,15명,054-841-2182,36.5390618634328,129.413477963954
전라북도,군산시,군산 희망루배움터,"전라북도 군산시 월명로 584 (해망동, 희망루)1층",6명,1899-6222,35.9880595065398,126.697686477497
경기도,양평군,양동면 주민자치센터,경기도 양평군 양동면 학둔지아래길 24 1층 정보화교육장,10명,1600-6813,37.4244521296175,127.751415648863
경상북도,경주시,경주시 강동면복지회관,경상북도 경주시 강동면 강동로 17 ,10명,054-841-2182,35.9870921888822,129.272832822438
충청남도,보령시,보령지역자활센터,충청남도 보령시 원동1길 95 (대천동)2층 보령지역자활센터,15명,041-415-1097(8),36.3503044862633,126.600173193754
전라남도,나주시,나주에코왕곡교육센터,전라남도 나주시 왕곡면 나주서부로 371-14 나주에코왕곡교육센터 1층,20명,1566-6105,34.9676179132468,126.673148951336
강원도,춘천시,스무숲공소,강원도 춘천시 안마산로 290-7 (석사동)지하 1층 주회의실,10명,033-263-9750,37.8459829922968,127.745263239499
경기도,수원시,창룡도서관교육장,경기도 수원시 팔달구 월드컵로381번길 36 (우만동)창룡도서관2층,10명,1600-6813,37.2907426666042,127.027547034257
경기도,부천시,오정도서관,경기도 부천시 성오로 172 (오정동)오정도서관(오정어울마당 내),10명,1600-6813,37.5283486197916,126.796025892767
전라남도,곡성군,곡성군청,전라남도 곡성군 곡성읍 군청로 50 3층,20명,1566-6105,35.2821563119349,127.292655369317
전라남도,영암군,영암삼호읍종합복지회관,전라남도 영암군 삼호읍 세가래로 88 삼호복지회관 1층 경로당,10명,070-5117-4057,34.7486683430027,126.474640784031
서울특별시,성북구,상월곡 실버복지센터,서울특별시 성북구 화랑로18길 6 (상월곡동)3층 새로 배움터,10명,1544-9782,37.6058540469152,127.048233605235
서울특별시,동작구,시립동작노인종합복지관,서울특별시 동작구 상도로11길 7 (대방동)지하 1층,6명,1544-9782,37.5003904580472,126.929109745694
충청북도,진천군,광혜원문화복지회관,충청북도 진천군 광혜원면 구암길 64-3 ,20명,043-900-5006,36.9887237091295,127.430005050459
충청북도,제천시,제천시종합사회복지관,"충청북도 제천시 용두대로23길 14 (하소동, 하소주공4단지아파트)2층 정보화교실",15명,043-900-5006,37.146241676093,128.197258807033
충청북도,진천군,진천군노인복지관,충청북도 진천군 진천읍 문화7길 12-6 진천군노인복지관,20명,043-900-5006,36.8607636244342,127.440075668272
전라남도,목포시,목포시종합사회복지관,전라남도 목포시 고하대로 712 (산정동)목포시종합사회복지관 2층(나눔터),10명,1566-6105,34.8097938888394,126.375730992543
제주특별자치도,서귀포시,수산정보화마을,제주특별자치도 서귀포시 성산읍 수산서남로 17 수산1리사무소 1층,10명,1899-8723,33.4458803117143,126.882927846362
충청남도,태안군,태안 교육문화센터 전산교육장,충청남도 태안군 태안읍 백화로 180 교육문화센터 3층 전산교육장,15명,041-415-1097~8,36.7551923217213,126.309430552232
부산광역시,강서구,더 힐 시그니처 커뮤니티센터,"부산광역시 강서구 명지국제7로 110 (명지동, 더 힐 시그니처)더 힐 시그니처 커뮤니티센터",10명,051-987-0201 ,35.095930476945,128.913268117195
제주특별자치도,서귀포시,서귀포시청,제주특별자치도 서귀포시 중앙로 105 (서홍동)별관2층 전산교육장,10명,1899-8723,33.2542036297813,126.560218236924
전라남도,여수시,여수시노인복지관,전라남도 여수시 학동서4길 58-16 (학동)3층,20명,1566-6105,34.763738814281,127.658965409904
대구광역시,달서구,이곡2동 행정복지센터,대구광역시 달서구 계대동문로 77 (이곡동),10명,053-214-1801,35.8557394054449,128.500724379784
부산광역시,기장군,한국장애인고용공단 부산직업능력개발원,부산광역시 기장군 정관읍 산단5로 54 한국장애인고용공단 부산직업능력개발원,15명,051-987-0201,35.316783615165,129.19765882654
전라남도,목포시,목포하당노인복지관,전라남도 목포시 입암로20번길 25 (상동)2층,20명,1566-6105,34.7996928162417,126.418914243419
전라남도,화순군,화순나드리노인복지관,전라남도 화순군 화순읍 학포로 2642 2층,20명,1566-6105,35.0460316967943,126.968103078784
대구광역시,북구,침산1동 작은도서관,대구광역시 북구 침산남로13길 16 (침산동)2층 작은도서관,18명,053-214-1801,35.8903182218,128.581352125025
충청북도,옥천군,청산면 노인복지관 분원,충청북도 옥천군 청산면 지전길 23-9 ,10명,043-900-5006,36.344175181337,127.793540841459
대전광역시,유성구,구암평생학습센터,대전광역시 유성구 유성대로626번길 57 (구암동)2층 정보화실,10명,042-716-0198,36.3492670852832,127.33025451134
전라남도,여수시,동여수노인복지관,전라남도 여수시 국동5길 7 (국동)1층,20명,1566-6105,34.732118602295,127.716994746297
경기도,수원시,권선구청,경기도 수원시 권선구 호매실로 12 (탑동)권선구청 2층 정보화교육장,10명,1600-6813,37.2576341602533,126.971898464354
대구광역시,북구,대구광역시여성회관,대구광역시 북구 팔달로1길 26 (노원동3가)204호,10명,053-214-1801,35.8943060428528,128.55505021898
부산광역시,남구,대연5동 행정복지센터,부산광역시 남구 진남로46번길 7 (대연동)대현5동 행정복지센터,15명,070-5029-0817,35.1384551553659,129.090161073559
서울특별시,송파구,장미 경로당,"서울특별시 송파구 올림픽로35길 104 (신천동, 장미아파트)장미 아파트 경로당",10명,1544-9782,37.519817176496,127.099302526074
경기도,포천시,청소년문화센터/문화의집,경기도 포천시 소흘읍 호국로523번길 59-56 1층,10명,1600-6813,37.8215582485331,127.128787730249
전라남도,순천시,순천용당노인복지관,전라남도 순천시 용당신흥길 66 (용당동)2층,20명,1566-6105,34.9680700241428,127.490180771186
전라북도,전주시,완산구청,전라북도 전주시 완산구 서원로 232 (효자동1가)완산구청 3층,10명,1899-6222,35.8121799091813,127.119784986155
충청남도,공주시,공주시장애인종합복지관,충청남도 공주시 의당로 23 (신관동)공주시장애인종합복지관 2층 강당,15명,041-415-1097~8,36.4741373145753,127.129265817502
경기도,안산시,선부종합사회복지관,"경기도 안산시 단원구 화정로 9 (선부동, 주공아파트)선부2동 선부종합사회복지관 2층",10명,1600-6813,37.3338587969121,126.813653600098
세종특별자치시,대평로,세종장애인평생교육원,세종특별자치시 대평로 71 (대평동)5층 509호 한국언어심리협회,10명,044 868 6024,36.4732788550834,127.277222179129
경상남도,김해시,삼방동어울림센터,경상남도 김해시 인제로230번길 46 (삼방동)3층 사무실,10명,055-213-2778,35.2471668142062,128.90719245461
광주광역시,북구,북구청 디지털배움터,광주광역시 북구 용봉로138번길 10 (중흥동)효죽제2공영주차장 1층,20명,062-224-0096,35.1726498896783,126.91113366013
서울특별시,마포구,가좌행복주택(커뮤니티센터),"서울특별시 마포구 성암로 28 (성산동, 가좌행복주택)행복주택 2층",10명,1544-9782,37.5691535548616,126.913300690329
경기도,수원시,자연생태교육연구소,경기도 수원시 권선구 효원로 106 (세류동)연구소 3층,20명,1600-6813,37.2658371289672,127.013362106678
전라남도,목포시,목포다함께돌봄센터,"전라남도 목포시 남악1로16번길 43-14 (옥암동, 코아루 천년가아파트)1층(목포다함께돌봄센터)",20명,1566-6105,34.8081257162165,126.45227880224
경기도,수원시,조원주공2단지 경로당,"경기도 수원시 장안구 금당로39번길 34 (조원동, 주공뉴타운)조원주공2단지 경로당 2층",10명,1600-6813,37.3043904683749,127.017806434027
전라북도,전주시,금암노인복지관,전라북도 전주시 덕진구 삼송5길 12 (금암동)3층,20명,1899-6222,35.8433072663653,127.137281835065
인천광역시,미추홀구,용현2동 행정복지센터,인천광역시 미추홀구 용마루로 56 (용현동)용현2동 행정복지센터 2층,10명,1644-5561,37.456177414614,126.644219932369
전라북도,익산시,전북장애인정보문화협회 익산지회,전라북도 익산시 중앙로 22-32 (중앙동1가)1층,15명,1899-6222,35.9392013384723,126.948976009311
부산광역시,남구,남구도서관,부산광역시 남구 수영로267번길 61 (대연동)남구도서관,10명,070-5029-0817,35.1376966788941,129.094567843567
대구광역시,달서구,송현1동 행정복지센터,대구광역시 달서구 중흥로8길 41 (송현동),10명,053-214-1801,35.8292317974844,128.554756358693
대구광역시,달서구,달서구노인종합복지관,대구광역시 달서구 학산로 140 (본동)달서구노인종합복지관 교육장(1층 안쪽),15명,053-214-1801,35.8332858977279,128.541805098165
전라남도,순천시,순천남부노인복지관,전라남도 순천시 장평로 60 (풍덕동)102동 101호 (순천남부노인복지관),20명,1566-6105,34.9451467854384,127.496090048525
부산광역시,영도구,영도구 마을기업 동삼희망 커뮤니티 복합문화공간,부산광역시 영도구 동삼로 69 (동삼동)2층,10명,070-5029-0817,35.0795652475978,129.070142722581
서울특별시,영등포구,여의도어르신복지센터,서울특별시 영등포구 여의대방로 372 (여의도동)2층,20명,1544-9782,37.5181419532174,126.930770593981
전라남도,완도군,완도군청,전라남도 완도군 완도읍 청해진남로 51 5층 전산교육장,10명,1566-6105,34.3109724416379,126.754961267544
제주특별자치도,제주시,봉아름작은도서관,제주특별자치도 제주시 번영로 503 (봉개동)봉아름작은도서관,10명,1899-8723,33.4903502028375,126.595756871344
경상남도,창녕군,창녕군 부곡면복지회관,경상남도 창녕군 부곡면 부곡로 26,5명,055-213-2775,35.4354712416859,128.59818577608
경상북도,포항시,포항시 송도동새마을금고 본점,경상북도 포항시 남구 송도로 43 (송도동)새마을금고 3층 정보화교육장,8명,054-841-2182,36.0335840157567,129.375807007397
경상북도,포항시,포항시 구룡포읍민복지회관,경상북도 포항시 남구 구룡포읍 구룡포길65번길 7 3층,7명,054-841-2182,35.9912028273587,129.552573880368
부산광역시,남구,대연파크 프루지오 시니어클럽,"부산광역시 남구 홍곡로 360 (대연동, 대연파크푸르지오)대연파크 푸르지오 시니어클럽",10명,051-987-0201 ,35.1253456097927,129.090820034146
서울특별시,종로구,서울노인복지센터,서울특별시 종로구 삼일대로 467 (경운동)별관 2층 노년설계교실 또는 본관 2층(인생교실),10명,1544-9782,37.5759657913407,126.985853298403
경기도,안산시,선부3동 행정복지센터,경기도 안산시 단원구 선삼로 47 (선부동)선부3동 행정복지센터,10명,1600-6813,37.3450468361245,126.812542983675
부산광역시,영도구,한울마당작은도서관,부산광역시 영도구 와치로161번길 37 (동삼동)작은도서관,10명,070-5029-0817,35.0811910984875,129.065448573463
서울특별시,강북구,강북청소년문화정보도서관,서울특별시 강북구 삼양로54길 68 (미아동)3층 상상공작소,10명,1544-9782,37.6230813586229,127.021555480923
경상남도,창녕군,창녕군 성곡정보이용센터,경상남도 창녕군 성산면 연당대산로 38,9명,055-213-2777,35.6364267835529,128.521004686498
세종특별자치시,보람로,도담풍경채 작은도서관,"세종특별자치시 보람로 15 (도담동, 도램마을9단지)도담풍경채 작은도서관",10명,044-868-6024,36.5106312427802,127.263587722513
부산광역시,북구,화명도서관,부산광역시 북구 화명대로12번길 59 (화명동)화명도서관,24명,070-5029-0817,35.2321919997848,129.009390922602
대구광역시,북구,대현힘찬어르신문화센터,"대구광역시 북구 대현로17길 7 (대현동, 대현아파트)2층",10명,053-214-1801,35.8832655801225,128.60882389512
강원도,춘천시,춘천호반장애인자립생활센터,강원도 춘천시 삭주로 3 (교동)춘천시청 별관 1층 호반장애인 자립생활센터,15명,033-910-0833,37.8826119429178,127.733116157556
충청북도,진천군,문백면복지회관,충청북도 진천군 문백면 문진로 467-32 문백면 복지회관,15명,043-900-5006,36.7839741505793,127.433599686553
인천광역시,연수구,에듀메이커스페이스,인천광역시 연수구 송도과학로 32 (송도동)송도테크노파크IT센터 M동 2603호,10명,1644-5561,37.3818594284068,126.662694187386
전라남도,순천시,순천한국복지정보통신,전라남도 순천시 중앙로 260 (석현동)5층,20명,1566-6105,34.9692620131483,127.484269894526
서울특별시,금천구,롯데1차 경로당,"서울특별시 금천구 벚꽃로 40 (독산동, 금천 롯데캐슬 골드파크 1차)롯데1차 경로당",20명,1544-9782,37.4600596360114,126.893020585165
제주특별자치도,제주시,구좌읍다목적문화센터,제주특별자치도 제주시 구좌읍 일주동로 3116 구좌읍다목적문화센터 2층,10명,1899-8723,33.5221392692922,126.851885796261
인천광역시,동구,동구청,인천광역시 동구 금곡로 67 (송림동)동구청정보화교육장 (  본관 5층 ),10명,1644-5561,37.4734098106142,126.642908179264
전라남도,여수시,여수헤세드장애인자립생활센터,전라남도 여수시 허문정1길 50-3 (문수동),10명,1566-6105,34.7501000385872,127.694502397893
경기도,시흥시,거모종합사회복지관,경기도 시흥시 군자로466번길 37 (거모동)3층 꿈나무교실,10명,1600-6813,37.344863146042,126.781326919416
전라남도,목포시,목포어린이도서관,전라남도 목포시 옥암로186번길 30-7 (석현동)2층,10명,1566-6105,34.8148308846959,126.425602450592
경상북도,안동시,안동시도시재생지원센터,경상북도 안동시 태사길 37 (옥정동)2층 교육장,15명,054-841-2182,36.5667044434952,128.732989103674
인천광역시,중구,영종1동행정복지센터,인천광역시 중구 하늘달빛로 120 (중산동)영종1동행정복지센터 (4층 컴퓨터실),10명,1644-5561,37.4888537929265,126.554844577393
경상북도,포항시,포항시 흥해종합복지문화센터,경상북도 포항시 북구 흥해읍 한동로 52 3층,15명,054-841-2182,36.1101242559048,129.347056829151
서울특별시,중구,유락종합사회복지관,서울특별시 중구 퇴계로 460 (신당동)6층,10명,1544-9782,37.5650915889749,127.022785073213
충청북도,단양군,단양군장애인생활이동지원센터,충청북도 단양군 단양읍 별곡5길 5 3층 강당,15명,043-900-5006,36.9853004324505,128.368652436581
전라북도,정읍시,정읍시장애인종합복지관,전라북도 정읍시 수성1로 58 (수성동)2층,10명,1899-6222,35.577499763815,126.853397522096
서울특별시,영등포구,영등포어르신복지센터,서울특별시 영등포구 도영로22길 36 (영등포동)4층,20명,1544-9782,37.5101566080895,126.903292797536
대구광역시,북구,노원동 작은도서관,대구광역시 북구 팔달로27길 42-3 (노원동3가)팔달시장고객쉼터 2층,10명,053-214-1801,35.890727090344,128.566673327529
충청북도,음성군,금왕읍 행정복지센터,충청북도 음성군 금왕읍 무극로 221 2층 정보화교육장,30명,043-900-5006,36.9930283352755,127.586203268116
전라남도,진도군,진도군노인복지관,전라남도 진도군 진도읍 성동길 6-1 2층,10명,1566-6105,34.4840500511279,126.26587426371
전라남도,여수시,여수소라종합사회복지관,전라남도 여수시 소라면 덕양로 414 1층,20명,1566-6105,34.7950799233684,127.633266435505
충청북도,충주시,충주늘푸른학교,충청북도 충주시 예성로 130 (용산동)1층 컴퓨터실,15명,043-900-5006,36.9685286463052,127.933772805308
대전광역시,중구,한빛작은도서관,대전광역시 중구 유천로102번길 53 (유천동)2층,10명,042-716-0198,36.3224085351346,127.399189922839
경상남도,창원시,마산합포노인종합복지관,경상남도 창원시 마산합포구 동서남1길 5,10명,055-213-2777,35.202366608705,128.571093412524
대전광역시,동구,동구청,대전광역시 동구 동구청로 147 (가오동)동구청 6층 컴퓨터교육실,10명,042-716-0198,36.3120364990332,127.45491664858
전라북도,진안군,진안읍 행정복지센터,전라북도 진안군 진안읍 대성길 3 2층,10명,1899-6222,35.7892688746867,127.423180417769
충청남도,천안시,천안시 다함께돌봄센터,"충청남도 천안시 서북구 불당23로 13 (불당동, 불당이안)1층",15명,041-415-1097~98,36.8209830461396,127.102198361087
전라북도,전주시,서원노인복지관,전라북도 전주시 완산구 따박골5길 36 (중화산동2가)2층,15명,1899-6222,35.8089342303456,127.127293770151
서울특별시,성북구,성북장애인단체연합회,서울특별시 성북구 오패산로3길 95 (하월곡동)1층 정보화교육장,10명,1544-9782,37.6072558287257,127.03393590417
경상남도,김해시,김해시생활문화평생학습관,경상남도 김해시 금관대로910번길 52 (풍유동)1층 강의실,10명,055-213-2776,35.210801370024,128.850113355344
전라북도,고창군,고창군 여성회관,전라북도 고창군 고창읍 월곡공원1길 36 1층,10명,1899-6222,35.438123662104,126.712762944223
인천광역시,계양구,계산2동 행정복지센터,인천광역시 계양구 주부토로 559 (계산동)계산2동행정복지센터 (2층 컴퓨터실),10명,1644-5561,37.5442092648048,126.728141524382
대전광역시,유성구,진잠도서관,대전광역시 유성구 진잠로160번길 19 (원내동)교육장,10명,042-716-0198,36.3031573384675,127.319766822848
서울특별시,성동구,성동장애인종합복지관,서울특별시 성동구 청계천로 506 (마장동)3층 교육실,10명,1544-9782,37.5702230156273,127.033440163639
부산광역시,부산진구,행복디자인교육컨설팅,부산광역시 부산진구 연수로 33 (양정동)포산빌딩 3층,10명,051-987-0201 ,35.1744712789602,129.074748470112
경기도,안산시,초지동 행정복지센터,경기도 안산시 단원구 초지동로 67 (초지동)행정복지센터 2층,10명,1600-6813,37.3099751096249,126.81686634216
세종특별자치시,가름로,세종발달장애인훈련센터,세종특별자치시 가름로 143 (어진동)세종타워B EAST동 6층,20명,044 868 6024,36.4990822723889,127.256327651405
서울특별시,동대문구,구립동대문장애인종합복지관,서울특별시 동대문구 청계천로 521 (용두동)다사랑행복센터 2층,10명,1544-9782,37.5718134590301,127.034047390232
부산광역시,수영구,광안노인복지관,부산광역시 수영구 장대골로 75-8 (광안동)광인노인복지관 3층 정보화교육장,8명,070-5029-0817,35.1595681371736,129.104867504774
충청북도,옥천군,향수뜰 마을 복지회관,충청북도 옥천군 군북면 비야대정로 739 ,15명,043-900-5006,36.3850114066473,127.540913517615
전라남도,진도군,진도군청,전라남도 진도군 진도읍 철마길 25 4층,20명,1566-6105,34.4868321091812,126.263576357914
서울특별시,광진구,열린평생교육원,서울특별시 광진구 능동로37길 6 (중곡동)201호,10명,1544-9782,37.558190113832,127.079576569907
서울특별시,서초구,서초구립양재노인종합복지관,서울특별시 서초구 강남대로30길 73-7 서초구립양재노인종합복지관,10명,1544-9782,37.4830200110045,127.040815998673
충청남도,보령시,사현포도정보화마을,충청남도 보령시 남포면 사현1길 29-24 마을회관,15명,041-415-1097,36.2841562922486,126.603091911723
충청북도,청주시,청주사회복지관,충청북도 청주시 상당구 영운천로 13-1 (영운동)청주사회복지관,10명,043-900-5006,36.615813192836,127.501181623258
전라남도,나주시,나주디지털배움터,전라남도 나주시 그린로 355 (빛가람동)아주타워 4층 408호,16명,1566-6105,35.0181464468087,126.793882043621
부산광역시,중구,한마음평생학습관,부산광역시 중구 대청로 63-1 (보수동1가)한마음평생학습관,18명,070-5029-0817,35.1032075165032,129.0270350248
제주특별자치도,제주시,근로자종합복지관,제주특별자치도 제주시 수목원길 9 (노형동)지하 1층 스터디룸,5명,1899-8723,33.4696960899429,126.486230174281
경기도,의정부시,신곡노인종합복지관,경기도 의정부시 금신로297번길 38 (신곡동)신곡노인종합복지관 2층,6명,1600-6813,37.7431856911663,127.063524219229
경기도,안산시,상록구노인복지관,경기도 안산시 상록구 고잔로 162 (성포동)상록구노인복지관 1층,10명,1600-6813,37.3184757326578,126.844310104518
전라북도,익산시,익산시 평생학습관,전라북도 익산시 선화로 133 (모현동1가)익산시 평생학습관 1층,10명,1899-6222,35.9481751583151,126.945428225265
전라남도,목포시,목포공공도서관,전라남도 목포시 원산주택로3번길 6 (산정동)2층,20명,1566-6105,34.8068021369293,126.376270469496
서울특별시,서대문구,서대문구평생학습관 융복합인재교육센터,서울특별시 서대문구 연희로36길 49 (연희동)1층,10명,1544-9782,37.5782706355026,126.938415814385
서울특별시,광진구,자양종합사회복지관,서울특별시 광진구 자양번영로 35 (자양동)4층 컴퓨터실,10명,1544-9782,37.5328984063505,127.07523365394
경기도,안산시,고잔동 행정복지센터,경기도 안산시 단원구 화정천동로 252 (고잔동)고잔동행정복지센터,10명,1600-6813,37.3270757499082,126.819172158537
부산광역시,금정구,금정구청,부산광역시 금정구 중앙대로 1777 (부곡동)금정구청 본관 4층 전산교육장,10명,070-5029-0817,35.2420540392893,129.092454461699
인천광역시,동구,동구한마음종합복지관,인천광역시 동구 만석로 53 (만석동)한마음종합복지관 (2층 프로그램실),10명,1644-5561,37.4817331025842,126.625188696438
충청남도,예산군,예산군 평생학습관,충청남도 예산군 예산읍 아리랑로 147 예산군 평생학습관,15명,041-415-1097,36.6859336817787,126.846002959266
서울특별시,용산구,용산꿈나무종합타운,서울특별시 용산구 백범로 329 (원효로1가)용산꿈나무종합타운 2층,30명,1544-9782,37.5389037956572,126.965012154483
강원도,화천군,파로호생태마을배움터,강원도 화천군 간동면 파로호로 748-5 1층 교육장,10명,033-910-0833,38.0654974013339,127.781250911626
울산광역시,남구,남구종합사회복지관,울산광역시 남구 번영로107번길 13 (달동)남구종합사회복지관,5명,1600-6408,35.534382072072,129.327318096236
전라남도,무안군,무안군청,전라남도 무안군 무안읍 무안로 530 3층,10명,1566-6105,34.990658423567,126.482692749198
경상남도,김해시,김해진영한빛도서관,경상남도 김해시 진영읍 김해대로 440 평생마을 2층,10명,055-213-2117,35.3046782460098,128.736911161026
경상북도,영덕군,영덕읍주민자치센터,경상북도 영덕군 영덕읍 덕곡천길 52 1층,20명,054-841-2182,36.4106840118619,129.371867149332
서울특별시,은평구,은평구보훈회관,서울특별시 은평구 진관2로 31 (진관동)은평구보훈회관 1층,24명,070-7790-9626,37.6350173188442,126.92103776265
대구광역시,북구,북구 창업지원오피스,대구광역시 북구 노원로 134 (노원동3가)1층 좌측 북구청 정보화교육장,12명,053-214-1801,35.8969528043001,128.575764524629
전라남도,여수시,여수엑스포사랑나눔지역아동센터,전라남도 여수시 소호로 494 (소호동)3층,10명,1566-6105,34.7460920607438,127.654498336549
강원도,원주시,명륜작은도서관,강원도 원주시 향교길 58 (명륜동)1층 도서관,25명,033-910-0833,37.3395288408081,127.951253355162
대전광역시,중구,동부다문화교육센터,대전광역시 중구 대흥로 134 (대흥동)4층 교육장,10명,042-716-0198,36.3236582859936,127.427164815724
서울특별시,강북구,구세군 강북종합사회복지관,서울특별시 강북구 인수봉로20가길 24 (미아동)4층 프로그램실,10명,1544-9782,37.6256802930169,127.01339601092
제주특별자치도,제주시,제주다문화복지연구원,제주특별자치도 제주시 서사로 63 (삼도이동)3층,10명,1899-8723,33.5067682300654,126.520120591992
경상북도,성주군,성주군청,경상북도 성주군 성주읍 성주로 3200 5층 정보화교육장,22명,054-841-2182,35.9190428531048,128.283785558564
서울특별시,강서구,장애여성 인력개발센터,서울특별시 강서구 화곡로 346 (화곡동)귀뚜라미홈시스텔 2층,10명,1544-9782,37.5545091254843,126.8520185641
서울특별시,은평구,증산동주민센터,서울특별시 은평구 증산서길 89 (증산동)4층,10명,1544-9782,37.5843547680521,126.907027254591
제주특별자치도,서귀포시,태흥3리사무소,제주특별자치도 서귀포시 남원읍 삼덕로 3 1층 다목적실,10명,189-9-8723,33.2935918060557,126.758473527596
제주특별자치도,서귀포시,효돈동디지털배움터,제주특별자치도 서귀포시 효돈로 136 (신효동)동부신협 2층 교육장,20명,1899-8723,33.2639802476166,126.613219585171
부산광역시,사상구,사상구청,부산광역시 사상구 학감대로 242 (감전동)사상구청 정보화교육장,15명,070-5029-0817,35.1525507231581,128.991456131232
강원도,정선군,정선군청소년수련관,강원도 정선군 정선읍 용담샛길 15 2층 IT교육실,10명,033-910-0833,37.3795101695325,128.648839529348
강원도,태백시,태백시 황연동행정복지센터,강원도 태백시 광장로 31 (황지동)2층 소회의실,15명,033-910-0833,37.1787597585506,128.986668125479
서울특별시,중랑구,구립용마경로복지센터,서울특별시 중랑구 용마산로94길 98 (면목동)2층 컴퓨터실,10명,1544-9782,37.5873998509971,127.101819938244
충청남도,천안시,용곡경로당,"충청남도 천안시 동남구 풍세로 801-23 (용곡동, 용곡1차세광엔리치타워아파트)용곡세광1차 경로당",20명,041-415-1097~8,36.7800848581284,127.140332212358
전라남도,여수시,여수사회적경제지원센터배움터,전라남도 여수시 공화남2길 19-1 (공화동)2층(여수시사회적경제마을통합지원센터),10명,1566-6105,34.7446444430853,127.742681652413
경기도,수원시,팔달노인복지관,경기도 수원시 팔달구 수원천로 343 (북수동)팔달구노인복지관2층 컴퓨터실,10명,1600-6813,37.2839498638234,127.017381565324
전라북도,김제시,김제시노인종합복지관 ,전라북도 김제시 하동1길 79 (하동)김제시노인종합복지관 2층,10명,1899-6222,35.8147140601818,126.893204852157
대전광역시,대덕구,대덕구노인지회,대전광역시 대덕구 신탄진로681번길 6 (덕암동)2층,10명,042-716-0198,36.4393694615937,127.426122601772
세종특별자치시,새롬로,새롬청소년센터,세종특별자치시 새롬로 14 (새롬동)2층 새롬청소년센터,20명,044-868-6024,36.4860700376875,127.256696462014
경상남도,거제시,거제시 수양도서관,경상남도 거제시 제산로 5길 26수양동주민센터 3~4층,10명,055-213-2777,34.8879391641937,128.646271053695
